publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p022521,,2017-01-09T08:00:05.532Z,2017-01-09T08:02:36.125Z,176.5519009,-39.59318413,1.932656812,30.3125,M,,NonLinLoc,,automatic,nz3drx,28,28,8,0.1511984446,209.0334689,1.49602281,0
2017p022509,,2017-01-09T07:53:09.683Z,2017-01-09T12:04:50.071Z,173.5987882,-42.21209156,2.661569108,26.09375,M,,NonLinLoc,,automatic,nz3drx,24,24,8,0.2088983869,138.7721195,0.7782902741,0
2017p022501,,2017-01-09T07:48:44.412Z,2017-01-09T07:52:08.002Z,173.9587449,-42.42279486,2.220157787,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.3098208029,198.5293648,1.154708089,0
2017p022490,,2017-01-09T07:43:10.495Z,2017-01-09T07:45:01.141Z,174.110278,-41.75567461,2.3723691,16.015625,M,,NonLinLoc,,automatic,nz3drx,23,23,12,0.07759031403,126.7674029,0.4889904659,0
2017p022486,,2017-01-09T07:40:42.766Z,2017-01-09T12:01:03.041Z,173.3996824,-42.51670841,2.795985843,24.21875,M,,NonLinLoc,,automatic,nz3drx,31,31,14,0.1442590287,146.0274912,1.170489452,0
2017p022386,,2017-01-09T06:48:07.333Z,2017-01-09T06:50:22.203Z,177.056364,-37.64552012,2.309716264,143.75,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.5727458876,208.2621065,1.667350195,0
2017p022352,,2017-01-09T06:29:30.682Z,2017-01-09T06:32:20.944Z,174.1697374,-41.68901732,2.252438408,13.671875,M,,NonLinLoc,,automatic,nz3drx,23,23,9,0.06956050778,70.70707793,0.4928237456,0
2017p022297,,2017-01-09T06:00:17.746Z,2017-01-09T06:01:47.131Z,173.6483326,-41.27404067,1.829917188,69.6875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.2095491507,103.1557916,0.8237467488,0
2017p022242,,2017-01-09T05:30:41.674Z,2017-01-09T05:32:33.259Z,176.3595523,-40.86575044,1.845840176,18.59375,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1285174737,221.9266831,0.5628846996,0
2017p022232,,2017-01-09T05:25:37.556Z,2017-01-09T05:28:08.204Z,177.210296,-37.90857947,2.700000705,56.09375,M,,NonLinLoc,,automatic,nz3drx,44,44,28,0.1908279537,68.67389716,0.7968120226,0
2017p022185,,2017-01-09T05:00:28.405Z,2017-01-09T05:02:19.141Z,176.1282943,-39.73371642,2.238512359,5.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.5668414942,129.6556471,1.365509843,0
2017p022165,,2017-01-09T04:49:50.780Z,2017-01-09T04:51:36.259Z,173.4870613,-40.74525164,1.783909996,100.625,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.3331965283,138.7761334,1.113792775,0
2017p022156,,2017-01-09T04:44:55.970Z,2017-01-09T10:36:23.828Z,172.2727136,-42.86305605,3.346645237,15.3125,M,,NonLinLoc,,automatic,nz3drx,47,47,27,0.07976412335,59.36451508,1.20522524,0
2017p022149,,2017-01-09T04:41:48.486Z,2017-01-09T04:45:18.734Z,178.5332044,-37.96120899,2.721683129,37.8125,M,,NonLinLoc,,automatic,nz3drx,40,40,22,0.1655301584,226.5595504,1.3912155,0
2017p022148,,2017-01-09T04:40:38.833Z,2017-01-09T04:42:23.500Z,176.3286171,-40.18479822,1.506784255,35.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.148823855,63.33370644,0.5660047069,0
2017p022144,,2017-01-09T04:38:42.729Z,2017-01-09T04:40:33.692Z,174.473847,-41.57283909,1.927021479,15.078125,M,,NonLinLoc,,automatic,nz3drx,16,16,6,0.2652856197,130.0775314,0.2390761839,0
2017p022128,,2017-01-09T04:29:49.436Z,2017-01-09T04:32:15.604Z,174.4320418,-41.2454883,2.52337263,55.15625,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.1214896942,80.63689788,0.6011672381,0
2017p022125,,2017-01-09T04:28:56.632Z,2017-01-09T04:31:21.168Z,178.3948439,-37.80037571,2.375457526,29.375,M,,NonLinLoc,,automatic,nz3drx,17,17,9,0.02388819477,226.3412165,0.6578712862,0
2017p022101,,2017-01-09T04:15:51.275Z,2017-01-09T04:16:39.663Z,174.3467823,-41.70339118,1.134305776,16.71875,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.1104256736,162.239686,0.1867208411,0
2017p022096,,2017-01-09T04:12:53.027Z,2017-01-09T04:15:05.360Z,176.0098142,-38.61988297,1.999952707,100.625,M,,NonLinLoc,,automatic,nz3drx,17,17,6,0.5567172056,216.7903071,1.172529668,0
2017p022081,,2017-01-09T04:05:15.655Z,2017-01-09T04:06:48.361Z,176.5767181,-39.93642273,2.07472621,28.671875,M,,NonLinLoc,,automatic,nz3drx,21,21,12,0.1698283462,60.54003348,0.5346970973,0
2017p022062,,2017-01-09T03:54:47.450Z,2017-01-09T03:57:06.933Z,176.5373931,-41.12935167,2.322363408,44.375,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.4916512384,240.1358226,0.8783725652,0
2017p022029,,2017-01-09T03:37:14.009Z,2017-01-09T03:39:10.377Z,176.7527795,-39.89423119,1.939551147,35.46875,M,,NonLinLoc,,automatic,nz3drx,21,21,12,0.1393661846,102.7033615,0.5378636476,0
2017p021994,,2017-01-09T03:18:27.265Z,2017-01-09T03:21:19.181Z,177.5537109,-35.84472656,3.538828797,298.9290365,M,,NonLinLoc,,automatic,iaspei91,38,38,22,1.730974978,282.7655843,0.6242944356,0
2017p021937,,2017-01-09T02:48:16.425Z,2017-01-09T02:50:40.762Z,177.0847061,-39.88257226,3.164511056,60.3125,M,,NonLinLoc,,automatic,nz3drx,62,62,42,0.5894126072,215.3288524,1.694984693,0
2017p021936,,2017-01-09T02:47:36.556Z,2017-01-09T02:50:12.218Z,178.5351562,-42.59765625,3.984196945,136.9140625,M,,NonLinLoc,,automatic,iaspei91,22,22,18,2.425923653,316.1467849,0.3779247908,0
2017p021927,,2017-01-09T02:42:48.407Z,2017-01-09T02:45:18.729Z,177.6393746,-38.40583027,2.980291513,39.921875,M,,NonLinLoc,,automatic,nz3drx,71,71,42,0.1092193941,63.36487795,0.9718489228,0
2017p021912,,2017-01-09T02:35:05.291Z,2017-01-09T02:37:10.519Z,178.4178517,-37.53128857,2.099873849,17.1875,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.09625557186,293.6174016,0.6677275482,0
2017p021897,,2017-01-09T02:27:14.198Z,2017-01-09T02:29:28.229Z,176.3561125,-40.89564901,2.522941015,22.34375,M,,NonLinLoc,,automatic,nz3drx,28,28,20,0.1178414375,199.9713983,0.6687982514,0
2017p021881,,2017-01-09T02:18:15.926Z,2017-01-09T02:20:43.482Z,173.5340063,-42.1501269,2.058587727,21.40625,M,,NonLinLoc,,automatic,nz3drx,16,16,5,0.2658286071,127.6435482,0.5050116679,0
2017p021853,,2017-01-09T02:03:42.330Z,2017-01-09T02:06:14.305Z,173.5615897,-42.2110078,2.28898832,22.34375,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.2057431947,136.4843052,0.6791063404,0
2017p021845,,2017-01-09T01:59:23.772Z,2017-01-09T02:01:02.135Z,174.2581821,-41.73832593,1.816191227,7.578125,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.03537059613,141.2103413,0.4677252664,0
2017p021825,,2017-01-09T01:48:33.149Z,2017-01-09T06:54:27.635Z,173.635121,-42.45344765,2.558790409,17.65625,M,,NonLinLoc,,automatic,nz3drx,25,25,12,0.07997425765,166.6352136,1.13755896,0
2017p021821,,2017-01-09T01:46:18.574Z,2017-01-09T01:48:12.660Z,174.1227808,-41.83695715,1.758175531,14.84375,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1105506274,165.4642625,0.3059014778,0
2017p021811,,2017-01-09T01:40:53.606Z,2017-01-09T01:43:39.274Z,172.8629609,-42.6530509,2.699300854,13.4375,M,,NonLinLoc,,automatic,nz3drx,17,17,3,0.3387433496,93.51791851,0.6087115475,0
2017p021793,,2017-01-09T01:31:41.504Z,2017-01-09T06:41:54.668Z,173.7707447,-42.4657266,3.743656524,26.5625,M,,NonLinLoc,,automatic,nz3drx,68,68,38,0.1777011235,149.0341611,1.510517704,0
2017p021758,,2017-01-09T01:12:42.415Z,2017-01-09T01:15:02.702Z,171.0045803,-45.06867911,2.421621477,14.375,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.2556217946,179.8800869,1.410585805,0
2017p021670,,2017-01-09T00:26:14.031Z,2017-01-09T00:28:45.158Z,172.8229223,-42.66691642,2.628468896,19.53125,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.3384146279,88.00323443,0.3168347578,0
2017p021644,,2017-01-09T00:12:01.251Z,2017-01-09T00:14:14.997Z,173.5365244,-42.21194632,2.269011213,17.1875,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.2040143582,132.068459,0.7510856078,0
