publicid	eventtype	origintime	modificationtime	longitude	 latitude	 magnitude	 depth	magnitudetype	depthtype	evaluationmethod	evaluationstatus	evaluationmode	earthmodel	usedphasecount	usedstationcount	magnitudestationcount	minimumdistance	azimuthalgap	originerror	magnitudeuncertainty
2017p010098		2017-01-04T17:40:26.257Z	2017-01-04T17:42:26.530Z	174.3356556	-41.65301834	2.060078316	14.84375	M		NonLinLoc		automatic	nz3drx	19	19	8	0.1343483146	146.3287481	0.8035176823	0
2017p010093		2017-01-04T17:37:40.045Z	2017-01-04T17:39:40.610Z	174.1382768	-41.85743141	2.094147016	15.78125	M		NonLinLoc		automatic	nz3drx	12	12	6	0.1214042388	175.407475	0.4030176612	0
2017p010070		2017-01-04T17:25:27.804Z	2017-01-04T17:27:29.887Z	175.0141349	-40.12530856	2.066625342	29.84375	M		NonLinLoc		automatic	nz3drx	22	22	7	0.3691044242	118.8088508	0.4780826396	0
2017p010060		2017-01-04T17:20:38.270Z	2017-01-04T17:22:38.463Z	176.9353861	-38.13169592	1.882629523	54.6875	M		NonLinLoc		automatic	nz3drx	16	16	6	0.1850292819	194.7986734	0.4644776439	0
2017p010059		2017-01-04T17:19:30.604Z	2017-01-04T17:20:57.384Z	174.4708816	-41.48684439	2.051773077	19.53125	M		NonLinLoc		automatic	nz3drx	14	14	5	0.3029265096	118.4525327	0.3429094362	0
2017p010031		2017-01-04T17:04:40.042Z	2017-01-04T17:06:48.239Z	174.1454428	-41.85096791	2.370889564	19.53125	M		NonLinLoc		automatic	nz3drx	16	16	7	0.1131508184	162.7390505	0.5170788359	0
2017p010026		2017-01-04T17:01:54.795Z	2017-01-04T17:05:23.202Z	174.1897541	-41.92733998	4.017358921	29.375	M		NonLinLoc		automatic	nz3drx	101	101	66	0.1777947554	139.0802774	1.604629253	0
2017p010025		2017-01-04T17:01:46.232Z	2017-01-04T17:03:48.656Z	177.1856023	-37.74951706	2.411278648	70.625	M		NonLinLoc		automatic	nz3drx	11	11	6	0.434849029	244.5896241	1.13070608	0
2017p010002		2017-01-04T16:49:15.693Z	2017-01-04T16:51:11.356Z	175.0154731	-40.11534237	2.238986865	29.84375	M		NonLinLoc		automatic	nz3drx	35	35	19	0.3591987267	110.1328124	0.5353585645	0
2017p009887		2017-01-04T15:48:03.252Z	2017-01-04T15:50:39.341Z	172.9639659	-42.6492968	2.455903663	19.0625	M		NonLinLoc		automatic	nz3drx	20	20	6	0.3222806321	109.4922781	0.4961381868	0
2017p009874		2017-01-04T15:41:21.673Z	2017-01-04T15:43:34.271Z	173.3395774	-42.50161389	2.179842401	8.28125	M		NonLinLoc		automatic	nz3drx	11	11	3	0.1705729354	145.8782134	0.4654771183	0
2017p009822		2017-01-04T15:13:27.338Z	2017-01-04T15:16:44.157Z	173.1692815	-42.62185622	2.883443721	28.4375	M		NonLinLoc		automatic	nz3drx	49	49	18	0.3421368831	128.1423891	1.218225482	0
2017p009816		2017-01-04T15:10:16.632Z	2017-01-04T15:12:24.884Z	174.1770789	-41.80518153	1.963628953	12.03125	M		NonLinLoc		automatic	nz3drx	12	12	6	0.0613768849	173.841502	0.2972112954	0
2017p009790		2017-01-04T14:56:36.439Z	2017-01-04T14:58:48.129Z	173.7616943	-42.28525141	2.613523723	30.3125	M		NonLinLoc		automatic	nz3drx	28	28	11	0.2109361917	155.4195546	0.7027817903	0
2017p009776		2017-01-04T14:48:59.717Z	2017-01-04T14:49:58.225Z	175.8498631	-40.64471786	1.291285847	23.984375	M		NonLinLoc		automatic	nz3drx	10	10	4	0.1296087304	82.67836985	0.2650437357	0
2017p009770		2017-01-04T14:46:08.518Z	2017-01-04T14:48:43.084Z	178.0335405	-36.89633507	2.815617986	55.625	M		NonLinLoc		automatic	nz3drx	13	13	4	0.8935103816	252.1629273	1.633473097	0
2017p009727		2017-01-04T14:23:28.297Z	2017-01-04T14:26:35.358Z	178.1289548	-37.37904724	2.390687637	59.375	M		NonLinLoc		automatic	nz3drx	14	14	4	0.478093488	254.9242001	1.312789417	0
2017p009713		2017-01-04T14:15:21.774Z	2017-01-04T14:18:02.250Z	173.5567937	-42.24090637	2.315221711	17.65625	M		NonLinLoc		automatic	nz3drx	15	15	5	0.1756406972	139.3502621	0.4498889521	0
2017p009710		2017-01-04T14:13:47.441Z	2017-01-04T14:16:07.322Z	178.4053619	-38.36361069	2.024728769	30.3125	M		NonLinLoc		automatic	nz3drx	17	17	6	0.2030277165	250.9842588	0.9329223453	0
2017p009709		2017-01-04T14:13:12.146Z	2017-01-04T14:14:39.279Z	176.0061872	-38.94985101	1.359610564	43.4375	M		NonLinLoc		automatic	nz3drx	10	10	3	0.3439693236	198.6358343	0.6124156449	0
2017p009639		2017-01-04T13:36:00.290Z	2017-01-04T13:37:57.753Z	174.7334763	-40.27866168	2.181671348	30.3125	M		NonLinLoc		automatic	nz3drx	13	13	7	0.5604070973	110.3861717	0.7965923419	0
2017p009614		2017-01-04T13:22:28.705Z	2017-01-04T13:28:23.825Z	176.8405975	-40.02852336	3.055150482	52.8125	M		NonLinLoc		automatic	nz3drx	99	99	50	0.0166739074	110.548786	0.9973527594	0
2017p009525		2017-01-04T12:35:01.415Z	2017-01-04T12:37:37.737Z	179.1210938	-35.80078125	3.523454911	144.2161458	M		NonLinLoc		automatic	iaspei91	13	13	3	2.228403629	319.6391946	0.3442191829	0
2017p009515		2017-01-04T12:29:51.229Z	2017-01-04T12:36:33.948Z	175.423854	-39.16799839	1.021774759	7.578125	M		NonLinLoc		automatic	nz3drx	18	18	6	0.0964333282	161.9128259	0.3838028298	0
2017p009514		2017-01-04T12:29:15.796Z	2017-01-04T12:30:58.924Z	174.1971224	-41.73319759	1.518220565	5.234375	M		NonLinLoc		automatic	nz3drx	14	14	2	0.0214156215	84.89459642	0.5647118923	0
2017p009496		2017-01-04T12:19:34.679Z	2017-01-04T12:20:57.812Z	177.0460321	-39.61980338	1.82458176	21.40625	M		NonLinLoc		automatic	nz3drx	12	12	4	0.0457429928	160.488759	0.4305388649	0
2017p009473		2017-01-04T12:07:32.360Z	2017-01-04T12:10:09.163Z	173.5604379	-42.45128013	2.729511647	11.09375	M		NonLinLoc		automatic	nz3drx	27	27	11	0.0385652335	155.8095132	1.107943267	0
2017p009470		2017-01-04T12:06:04.356Z	2017-01-04T12:08:15.659Z	173.7396954	-42.42477808	2.233227877	22.8125	M		NonLinLoc		automatic	nz3drx	14	14	5	0.1483211822	163.6374307	0.7873971656	0
2017p009469		2017-01-04T12:05:16.198Z	2017-01-04T12:07:00.654Z	174.1565647	-41.69446968	1.630292375	14.84375	M		NonLinLoc		automatic	nz3drx	15	15	5	0.0702270057	80.86831546	0.6372415986	0
2017p009452		2017-01-04T11:56:24.825Z	2017-01-04T11:57:57.828Z	178.5416738	-38.28121084	2.42095083	22.8125	M		NonLinLoc		automatic	nz3drx	10	10	6	0.2966436876	242.2350658	0.4949649153	0
2017p009441		2017-01-04T11:50:36.415Z	2017-01-04T11:52:30.485Z	174.1502613	-41.77770189	1.711106239	15.78125	M		NonLinLoc		automatic	nz3drx	15	15	5	0.0549872119	155.1748097	0.4484667816	0
2017p009419		2017-01-04T11:38:52.884Z	2017-01-04T11:41:00.587Z	173.7323887	-42.07581618	2.204817035	14.84375	M		NonLinLoc		automatic	nz3drx	19	19	5	0.3699981302	147.5602606	0.5835542427	0
2017p009408		2017-01-04T11:32:35.275Z	2017-01-04T11:52:05.275Z	173.8223967	-42.415499	2.647782014	26.09375	M		NonLinLoc		automatic	nz3drx	29	29	11	0.2091868459	151.3519092	0.9448198756	0
2017p009397		2017-01-04T11:27:03.470Z	2017-01-04T11:29:14.436Z	174.1725643	-41.69076867	1.761853545	14.140625	M		NonLinLoc		automatic	nz3drx	17	17	7	0.0670508752	91.1372306	0.4083761035	0
2017p009362		2017-01-04T11:08:08.105Z	2017-01-04T11:10:01.284Z	176.5802274	-40.31150957	1.913297957	16.015625	M		NonLinLoc		automatic	nz3drx	12	12	7	0.0614756669	170.8818503	0.3338953016	0
2017p009329		2017-01-04T10:50:36.315Z	2017-01-04T10:52:30.258Z	174.1069414	-41.85985034	2.144311916	11.09375	M		NonLinLoc		automatic	nz3drx	13	13	7	0.1360604138	169.2302334	0.4255774936	0
2017p009325		2017-01-04T10:48:44.650Z	2017-01-04T10:50:51.108Z	175.5403207	-39.44916616	1.426750196	60.3125	M		NonLinLoc		automatic	nz3drx	24	24	6	0.1296535182	115.296731	1.195964406	0
2017p009321		2017-01-04T10:46:45.521Z	2017-01-04T10:50:32.740Z	174.2432865	-41.7345523	2.208658298	5.234375	M		NonLinLoc		automatic	nz3drx	20	20	6	0.0273512315	140.0304569	0.7700263476	0
2017p009299		2017-01-04T10:35:00.233Z	2017-01-04T10:37:04.221Z	174.6092135	-41.51010068	2.141467011	15.078125	M		NonLinLoc		automatic	nz3drx	18	18	10	0.2559941459	134.0194065	0.2911427082	0
2017p009293		2017-01-04T10:31:45.242Z	2017-01-04T10:33:57.892Z	173.5929829	-42.48226246	2.22571738	12.03125	M		NonLinLoc		automatic	nz3drx	11	11	2	0.0770715628	181.138051	0.7958037308	0
2017p009243		2017-01-04T10:04:45.928Z	2017-01-04T11:18:21.579Z	174.2152575	-41.83966656	2.805299735	17.65625	M		NonLinLoc		automatic	nz3drx	52	52	18	0.0889496721	133.5668492	1.63176302	0
2017p009241		2017-01-04T10:04:01.461Z	2017-01-04T10:05:56.293Z	176.5790779	-40.15898329	1.960193311	36.40625	M		NonLinLoc		automatic	nz3drx	10	10	6	0.1156103652	100.3958383	0.2025340761	0
2017p009207		2017-01-04T09:45:37.890Z	2017-01-04T09:48:13.376Z	175.6546017	-40.16622904	3.011211611	24.6875	M		NonLinLoc		automatic	nz3drx	23	23	17	0.6121988738	263.3417495	1.949596412	0
